#{"t_start": 1780643578.868476, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,24.291187
-200.0,200,24.315182
-200.0,200,24.339087
-200.0,200,24.666335
-200.0,200,24.690382
-200.0,200,24.714315
-200.0,200,24.738179
-200.0,200,24.761904
-200.0,200,24.785576
-200.0,200,24.809272
-200.0,200,24.832923
-200.0,200,24.857305
-200.0,200,24.881813
-200.0,200,25.295886
-200.0,200,25.320023
-200.0,200,25.344237
-200.0,200,25.369193
-200.0,200,25.393931
-200.0,200,25.418291
-200.0,200,25.442594
-200.0,200,25.466771
-200.0,200,25.491605
-200.0,200,25.51629
-200.0,200,25.843652
-200.0,200,25.868949
-200.0,200,25.893488
-200.0,200,25.917946
-200.0,200,25.94207
-200.0,200,25.966388
-200.0,200,25.990815
-200.0,200,26.01526
-200.0,200,26.039558
-200.0,200,26.064095
-200.0,200,26.08829
-200.0,200,26.415441
-200.0,200,26.439659
-200.0,200,26.463815
-200.0,200,26.487814
-200.0,200,26.511994
-200.0,200,26.536038
-200.0,200,26.560198
-200.0,200,26.584201
-200.0,200,26.608178
-200.0,200,26.63219
-200.0,200,26.956753
-200.0,200,26.981041
-200.0,200,27.005417
-200.0,200,27.02963
-200.0,200,27.05378
-200.0,200,27.077802
-200.0,200,27.101785
-200.0,200,27.125861
-200.0,200,27.15
-200.0,200,27.174154
-200.0,200,27.498077
-200.0,200,27.522771
-200.0,200,27.5469
-200.0,200,27.570797
-200.0,200,27.594948
-200.0,200,27.619053
-200.0,200,27.642975
-200.0,200,27.667044
-200.0,200,27.690907
-200.0,200,27.805715
-200.0,200,28.134055
-200.0,200,28.158429
-200.0,200,28.182298
-200.0,200,28.206339
-200.0,200,28.230435
-200.0,200,28.254283
-200.0,200,28.27817
-200.0,200,28.302834
-200.0,200,28.327177
-200.0,200,28.352011
-200.0,200,28.37692
-200.0,200,28.704748
-200.0,200,28.729258
-200.0,200,28.753549
-200.0,200,28.777772
-200.0,200,28.802166
-200.0,200,28.826783
-200.0,200,28.852672
-200.0,200,28.87952
-200.0,200,28.905371
-200.0,200,28.930364
-200.0,200,29.269381
-200.0,200,29.293733
-200.0,200,29.319618
-200.0,200,29.34576
-200.0,200,29.370688
-200.0,200,29.394733
-200.0,200,29.418618
-200.0,200,29.442498
-200.0,200,29.466344
-200.0,200,29.490107
-200.0,200,29.821922
-200.0,200,29.846347
-200.0,200,29.871324
-200.0,200,29.89544
-200.0,200,29.91992
-200.0,200,29.944143
-200.0,200,29.968122
-200.0,200,29.992439
-200.0,200,30.016712
-200.0,200,30.040708
-200.0,200,30.36788
-200.0,200,30.392178
-200.0,200,30.416657
-200.0,200,30.440783
-200.0,200,30.46499
-200.0,200,30.494971
-200.0,200,30.519679
-200.0,200,30.545811
-200.0,200,30.66451
-200.0,200,30.689268
-200.0,200,31.021058
-200.0,200,31.04577
-200.0,200,31.07018
-200.0,200,31.094492
-200.0,200,31.118834
-200.0,200,31.142873
-200.0,200,31.1687
-200.0,200,31.193438
-200.0,200,31.218037
-200.0,200,31.242608
-200.0,200,31.267613
-200.0,200,31.650064
-200.0,200,31.675463
-200.0,200,31.701244
-200.0,200,31.726104
-200.0,200,31.751446
-200.0,200,31.776521
-200.0,200,31.80174
-200.0,200,31.827822
-200.0,200,31.852579
-200.0,200,31.877405
-200.0,200,32.204316
-200.0,200,32.228601
-200.0,200,32.252734
-200.0,200,32.276766
-200.0,200,32.300774
-200.0,200,32.324613
-200.0,200,32.348669
-200.0,200,32.372869
-200.0,200,32.397139
-200.0,200,32.421727
-200.0,200,32.746368
-200.0,200,32.771068
-200.0,200,32.795359
-200.0,200,32.819631
-200.0,200,32.84369
-200.0,200,32.868375
-200.0,200,32.892476
-200.0,200,32.916556
-200.0,200,32.940871
-200.0,200,32.965227
-200.0,200,33.290978
-200.0,200,33.315388
-200.0,200,33.339732
-200.0,200,33.364454
-200.0,200,33.390296
-200.0,200,33.414987
-200.0,200,33.43955
-200.0,200,33.556059
-200.0,200,33.581085
-200.0,200,33.605731
-200.0,200,33.630645
-200.0,200,33.958838
-200.0,200,33.983194
-200.0,200,34.007405
-200.0,200,34.032069
-200.0,200,34.056974
-200.0,200,34.081315
-200.0,200,34.105399
-200.0,200,34.129413
-200.0,200,34.153474
-200.0,200,34.177957
-200.0,200,34.506203
-200.0,200,34.530607
-200.0,200,34.555911
-200.0,200,34.58133
-200.0,200,34.605923
-200.0,200,34.630032
-200.0,200,34.6545
-200.0,200,34.678871
-200.0,200,34.703482
-200.0,200,34.727816
-200.0,200,35.056508
-200.0,200,35.080972
-200.0,200,35.105486
-200.0,200,35.129747
-200.0,200,35.153872
-200.0,200,35.178034
-200.0,200,35.202173
-200.0,200,35.226343
-200.0,200,35.250408
-200.0,200,35.274537
-200.0,200,35.600626
-200.0,200,35.625268
-200.0,200,35.649586
-200.0,200,35.67383
-200.0,200,35.698002
-200.0,200,35.722233
-200.0,200,35.746287
-200.0,200,35.770457
