#{"t_start": 1780643299.747448, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,26.283794
-200.0,200,26.612337
-200.0,200,26.637055
-200.0,200,26.660826
-200.0,200,26.684882
-200.0,200,26.708801
-200.0,200,26.733812
-200.0,200,26.75959
-200.0,200,26.835955
-200.0,200,26.860616
-200.0,200,26.886052
-200.0,200,26.911164
-200.0,200,27.248315
-200.0,200,27.271971
-200.0,200,27.296086
-200.0,200,27.320666
-200.0,200,27.345023
-200.0,200,27.369412
-200.0,200,27.393919
-200.0,200,27.418362
-200.0,200,27.442802
-200.0,200,27.467231
-200.0,200,27.793613
-200.0,200,27.818295
-200.0,200,27.842471
-200.0,200,27.866444
-200.0,200,27.890732
-200.0,200,27.914764
-200.0,200,27.938749
-200.0,200,27.962715
-200.0,200,27.987076
-200.0,200,28.010755
-200.0,200,28.336257
-200.0,200,28.360874
-200.0,200,28.385144
-200.0,200,28.409474
-200.0,200,28.43375
-200.0,200,28.457772
-200.0,200,28.482221
-200.0,200,28.506797
-200.0,200,28.531319
-200.0,200,28.651045
-200.0,200,28.980259
-200.0,200,29.004978
-200.0,200,29.029953
-200.0,200,29.054376
-200.0,200,29.078789
-200.0,200,29.103027
-200.0,200,29.127246
-200.0,200,29.15317
-200.0,200,29.177751
-200.0,200,29.201813
-200.0,200,29.225862
-200.0,200,29.555739
-200.0,200,29.580652
-200.0,200,29.605504
-200.0,200,29.630286
-200.0,200,29.654868
-200.0,200,29.679804
-200.0,200,29.704234
-200.0,200,29.728706
-200.0,200,29.753357
-200.0,200,29.777751
-200.0,200,30.105653
-200.0,200,30.130588
-200.0,200,30.155115
-200.0,200,30.179465
-200.0,200,30.203968
-200.0,200,30.228819
-200.0,200,30.25312
-200.0,200,30.277524
-200.0,200,30.301894
-200.0,200,30.326233
-200.0,200,30.653466
-200.0,200,30.677877
-200.0,200,30.702034
-200.0,200,30.726302
-200.0,200,30.750359
-200.0,200,30.774486
-200.0,200,30.79851
-200.0,200,30.822926
-200.0,200,30.847584
-200.0,200,30.871656
-200.0,200,31.20095
-200.0,200,31.224893
-200.0,200,31.248179
-200.0,200,31.271321
-200.0,200,31.294482
-200.0,200,31.318015
-200.0,200,31.341342
-200.0,200,31.364623
-200.0,200,31.480564
-200.0,200,31.506318
-200.0,200,31.835299
-200.0,200,31.859856
-200.0,200,31.883978
-200.0,200,31.908004
-200.0,200,31.931932
-200.0,200,31.955924
-200.0,200,31.98134
-200.0,200,32.00586
-200.0,200,32.030723
-200.0,200,32.055548
-200.0,200,32.079988
-200.0,200,32.41013
-200.0,200,32.434756
-200.0,200,32.45843
-200.0,200,32.483133
-200.0,200,32.50752
-200.0,200,32.531591
-200.0,200,32.555389
-200.0,200,32.578614
-200.0,200,32.60214
-200.0,200,32.626913
-200.0,200,32.957179
-200.0,200,32.983626
-200.0,200,33.008496
-200.0,200,33.033029
-200.0,200,33.057601
-200.0,200,33.082049
-200.0,200,33.106571
-200.0,200,33.131011
-200.0,200,33.155496
-200.0,200,33.179887
-200.0,200,33.509393
-200.0,200,33.534555
-200.0,200,33.559292
-200.0,200,33.583751
-200.0,200,33.608389
-200.0,200,33.633608
-200.0,200,33.658833
-200.0,200,33.683284
-200.0,200,33.707994
-200.0,200,33.732569
-200.0,200,34.06149
-200.0,200,34.086286
-200.0,200,34.110745
-200.0,200,34.135242
-200.0,200,34.159567
-200.0,200,34.183689
-200.0,200,34.208547
-200.0,200,34.325553
-200.0,200,34.349972
-200.0,200,34.3751
-200.0,200,34.399975
-200.0,200,34.732082
-200.0,200,34.756438
-200.0,200,34.780665
-200.0,200,34.804818
-200.0,200,34.829585
-200.0,200,34.854772
-200.0,200,34.879408
-200.0,200,34.904044
-200.0,200,34.928618
-200.0,200,34.952946
-200.0,200,35.285283
-200.0,200,35.309453
-200.0,200,35.33359
-200.0,200,35.35768
-200.0,200,35.381749
-200.0,200,35.409414
-200.0,200,35.435909
-200.0,200,35.46099
-200.0,200,35.485934
-200.0,200,35.51067
-200.0,200,35.840743
-200.0,200,35.865151
-200.0,200,35.889544
-200.0,200,35.913776
-200.0,200,35.937893
-200.0,200,35.962034
-200.0,200,35.987047
