#{"t_start": 1780643441.363722, "env_id": "MountainCar-v0"}
r,l,t
-153.0,153,20.007112
-191.0,191,20.030312
-168.0,168,20.050675
-200.0,200,20.074948
-164.0,164,20.094675
-163.0,163,20.413114
-165.0,165,20.433214
-200.0,200,20.45742
-200.0,200,20.481576
-164.0,164,20.501841
-198.0,198,20.525732
-200.0,200,20.549691
-180.0,180,20.571548
-161.0,161,20.59098
-178.0,178,20.612419
-197.0,197,20.636093
-157.0,157,20.654958
-200.0,200,20.978061
-168.0,168,20.998363
-197.0,197,21.022744
-158.0,158,21.041654
-200.0,200,21.065398
-173.0,173,21.086375
-159.0,159,21.105892
-164.0,164,21.125993
-196.0,196,21.149678
-156.0,156,21.168534
-200.0,200,21.192721
-159.0,159,21.51086
-156.0,156,21.52964
-165.0,165,21.549339
-163.0,163,21.568733
-174.0,174,21.589426
-162.0,162,21.608746
-160.0,160,21.627785
-160.0,160,21.646762
-156.0,156,21.66521
-170.0,170,21.685314
-164.0,164,21.704767
-200.0,200,21.728568
-200.0,200,22.055582
-158.0,158,22.149693
-154.0,154,22.169232
-171.0,171,22.189839
-154.0,154,22.208285
-156.0,156,22.227416
-155.0,155,22.246382
-188.0,188,22.269296
-162.0,162,22.289014
-166.0,166,22.309118
-157.0,157,22.328184
-157.0,157,22.347164
-159.0,159,22.366733
-153.0,153,22.68417
-162.0,162,22.70416
-153.0,153,22.722675
-150.0,150,22.740897
-173.0,173,22.761923
-182.0,182,22.783972
-145.0,145,22.801555
-191.0,191,22.82472
-153.0,153,22.843261
-122.0,122,22.858443
-200.0,200,22.883562
-153.0,153,22.902975
-148.0,148,22.921672
-154.0,154,23.239821
-154.0,154,23.258451
-200.0,200,23.282544
-142.0,142,23.299683
-146.0,146,23.317274
-149.0,149,23.335262
-149.0,149,23.353085
-127.0,127,23.369224
-153.0,153,23.388107
-167.0,167,23.40827
-149.0,149,23.426365
-148.0,148,23.444256
-197.0,197,23.468475
-188.0,188,23.789013
-200.0,200,23.812832
-150.0,150,23.830691
-142.0,142,23.847542
-142.0,142,23.864725
-149.0,149,23.883013
-144.0,144,23.900305
-190.0,190,23.922984
-149.0,149,23.940707
-200.0,200,23.964375
-142.0,142,23.981318
-146.0,146,23.998663
-142.0,142,24.314562
-145.0,145,24.332073
-120.0,120,24.346465
-153.0,153,24.365269
-200.0,200,24.389516
-179.0,179,24.411456
-146.0,146,24.429121
-146.0,146,24.446897
-200.0,200,24.470609
-157.0,157,24.489557
-143.0,143,24.506791
-123.0,123,24.52146
-153.0,153,24.539663
-153.0,153,24.606476
-120.0,120,24.964959
-159.0,159,24.984067
-124.0,124,24.999321
-181.0,181,25.021334
-154.0,154,25.039701
-142.0,142,25.056993
-145.0,145,25.074388
-161.0,161,25.093699
-146.0,146,25.111076
-114.0,114,25.12464
-169.0,169,25.144674
-111.0,111,25.157862
-147.0,147,25.175365
-152.0,152,25.193478
-200.0,200,25.516608
-145.0,145,25.5342
-140.0,140,25.551138
-153.0,153,25.569768
-121.0,121,25.584334
-143.0,143,25.601422
-148.0,148,25.61902
-150.0,150,25.636928
-152.0,152,25.65494
-146.0,146,25.67223
-120.0,120,25.686445
-154.0,154,25.704745
-146.0,146,25.72202
-154.0,154,25.740251
-152.0,152,26.057089
-200.0,200,26.081558
-143.0,143,26.099002
-152.0,152,26.117355
-141.0,141,26.134449
-90.0,90,26.145293
-153.0,153,26.163484
-120.0,120,26.177775
-149.0,149,26.195571
-136.0,136,26.211715
-95.0,95,26.223031
-129.0,129,26.238361
-160.0,160,26.257312
-164.0,164,26.276682
-153.0,153,26.592227
-145.0,145,26.609652
-160.0,160,26.628699
-174.0,174,26.64938
-143.0,143,26.666308
-148.0,148,26.683893
-145.0,145,26.701122
-145.0,145,26.718361
-146.0,146,26.735617
-88.0,88,26.746059
-153.0,153,26.764205
-150.0,150,26.78202
-147.0,147,26.799331
-134.0,134,26.815215
-151.0,151,27.136275
-115.0,115,27.150182
-150.0,150,27.168184
-151.0,151,27.186114
-150.0,150,27.203965
-187.0,187,27.226115
-146.0,146,27.243375
-113.0,113,27.2568
-116.0,116,27.270583
-151.0,151,27.288471
